快乐男声	72340
WhitneyHouston	72009
小峰峰	71984
云非非	71778
云菲菲	71778
步步惊心	71629
GreenDay	71367
伍咏薇	71168
霍尊	71112
娄艺潇	70754
SarahConnor	70744
金俊秀	70663
晓雯	70380
俞思远	70266
宋祖英	70154
终极一班	70072
侯强	69911
T.R.Y	69724
GiorgiaFumanti	69663
赵帆	69493
贯诗钦	69487
SelenaGomez+theScene	69441
秀才	68990
虞姬	68955
MariaArredondo	68823
马沂茹	68810
费玉清	68561
JenniferLopez	68149
李幸倪	67921
于玄子	67893
程响	67793
韩真真	67751
张木易	67709
JessieJ	67700
奈儿	67562
DJ李峙	67120
小凌	67115
笑傲江湖	67076
胡小宝	66985
田震	66980
伍佳丽	66941
罗琦	66794
文章	66779
大庆小芳	66668
柯羽	66499
佳宁组合	66436
蔡淳佳	66352
逃跑计划	66280
陶钰玉	65467
陈乔恩	65251
居来提	65138
穿越火线	65058
黄鸿升	64817
爱乐公社	64800
Coldplay	64662
秦时明月	64642
刘佳	64523
云朵	64221
七朵组合	63861
范冰冰	63829
新七小福	63801
袁野	63678
韩信	63435
陈爽	63244
李宥承	63052
藤兮	62821
刘涛	62788
Mc洪磊	62676
潘裕文	62338
雷诺儿	62150
王玉	62070
黄贯中	62010
张吉	61777
王启	61448
沼泽乐队	61303
钟舒祺	61296
JS	61155
索朗旺姆	61144
马郁	61140
OneRepublic	61127
王心如	60563
GleeCast	60552
王晨光	60312
李冬鹤	59804
孙俪	59704
李升基	59660
马海生	59327
辉灿	59273
张亮	59266
守护甜心	59231
金迈	59116
林霞	58878
FreeParty	58796
张玮琪	58758
杨晓珊	58381
BOBO	57860
童声	57751
卓义峰	57697
魏一宁	57669
樱高轻音部	57580
张地	57315
俞德荭	57221
陈赫	57193
马旭东	56989
地下城与勇士DNF	56905
程海星	56718
NickiMinaj	56652
少司命	56541
蔡旻佑	56540
马云龙	56507
子雷	56499
刘欣宜	56003
李玉波	55783
蔡琴	55509
程薇	55483
欧汉声	55452
小恩俊	55201
陈台证	54986
LMFAO	54748
刘晏辰	54555
萧萧	54448
阿正	54359
央金兰泽	54313
张悬	54233
影视原声	54167
迟志强	54064
郑永单	53968
周汤豪	53852
川子	53769
金钟国	53450
范世琪	53205
红布条	53165
耿琦	53132
刘颖	53073
张芯	52991
崔健（新人）	52899
李晓杰	52697
王子霆	52675
田一龙	52657
小宝	52523
左溢	52434
宋冬野	52398
何艺纱	52323
金韩一	52302
希亚	51875
新白发魔女传	51777
钟立风	51753
阴三儿	51608
胡白	51358
廖浩明	51317
余翠芝	51065
K.will	50887
金娃娃	50731
李炆	50725
袁咏琳	50630
张佑赫	50402
崔恕	50389
动漫原声	50256
fun.	50199
RubberBand	50164
神木与瞳	50150
郭媛媛	50097
宋伟	49910
胎教音乐	49897
刘恺威	49878
林凡	49870
涂浚贤	49655
丁克森	49527
薛晓光	49408
彭立	49275
哈斯	49269
李巍	49191
言承旭	49191
小时代	49175
朴有天	48949
张远喆	48836
陈星安	48776
韩雷	48747
KatyPerry	48742
Lawson	48696
黄馨可	48646
阿蜜丝女孩	48601
刘昊霖	48441
MarilynManson	48182
李羽龙	48058
香香	47903
OliviaOng	47780
古卓文	47724
梁晓雪	47435
刘金	47310
iMe	47186
哥哥妹妹	47141
徐誉滕	47102
DJ宝贝	47040
李皆乐	47039
墨明棋妙	46993
杨洋	46973
F4	46929
陈雷	46875
陈俊彤	46815
叶倩文	46797
马条	46786
钟嘉欣	46586
徐靖博	46527
小右	46420
宫崎骏	46096
于天龙	45786
闫旭	45557
索南扎西	45481
赵浴辰	45480
黎明	45357
Sweetbox	45111
吴尊	45069
林欣彤	45043
崔健	44784
陆永	44684
雷佳	44680
BonJovi	44675
谢军	44574
朱浩	44500
思小妞	44482
孟慧圆	44320
宋孟君	44206
赖剑亮	44041
姚笛	44033
崔强	44007
杭盖乐队	43972
魏语诺	43777
王智钦	43595
任岩	43467
Mc麻木	43411
Mc九局	43360
吸血鬼日记	43181
谢华	43136
格子兮	43103
李永昌	43084
追星族乐队	43068
凌志辉	43063
张玉华	42979
玄彬	42892
一起来看流星雨	42852
肖玄	42755
蓝琪儿	42754
江南	42679
新街口组合	42638
聚点翻转	42631
爽子	42467
河静静	42240
AmyDiamond	42161
刘大毅	42145
黄鹤翔	41970
许智勇	41968
童年	41853
田跃君	41751
章子怡	41486
姜昕	41400
海悦	41288
彭丽媛	41183
冯颖琪	41104
石进	41088
陈子琪	40958
CAllStar	40850
陈晓	40634
陶燕青	40455
许慧欣	40381
舒鸣	40339
郑融	40233
师洋	39981
贺世哲	39941
天空乐队	39883
田斯斯	39775
刘丹萌	39772
丁于	39760
零点乐队	39706
Rammstein	39655
代理仁	39646
苏有朋	39626
DemiLovato	39576
彤杰	39436
吴青峰	39392
黄智博	39261
常汉卿	39260
常定晨	39260
刘菲	39180
林一峰	39099
动感新势力系列	38910
李草青青	38877
孙羽幽	38831
乌吉斯古楞	38799
瑜彧	38763
童安格	38663
那些年，我们一起追的女孩	38541
SNH48	38345
杨天宁	38311
王子鸣	38288
郑凡	38281
陈百强	38258
